id;name;description;definition;shared;auto_start;created;updated;default_subscription;commit_id
1;Expressway Handcrafted Centralized;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;2020-06-18T06:42:33;2020-06-17T20:05:49;false;Refined Plastic Pants
2;Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;2020-06-18T13:59:53;2020-06-17T19:57:36;false;archive
3;Home Loan Account Frozen Accountability;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;2020-06-18T11:07:08;2020-06-18T17:08:55;false;Quality
4;Manat moderator grey;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;2020-06-18T04:12:54;2020-06-18T19:22:03;false;District Intelligent Rubber Keyboard
5;Intelligent Plastic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;true;2020-06-18T12:59:38;2020-06-18T13:24:37;false;Metrics
6;Auto Loan Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;true;2020-06-18T12:26:29;2020-06-18T12:45:31;true;indexing Credit Card Account
7;PCI Land port;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;2020-06-18T17:55:49;2020-06-18T16:02:10;false;Checking Account Credit Card Account copying
8;Tasty Metal Chips Singapore Dollar Tuna;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;true;2020-06-18T10:16:57;2020-06-17T22:43:59;false;driver Communications calculating
9;driver;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;true;2020-06-18T08:45:12;2020-06-17T23:45:14;false;payment attitude-oriented
10;Strategist Berkshire magenta;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;2020-06-18T05:41:29;2020-06-18T14:10:29;true;Puerto Rico Garden Dynamic
